age,resign,division,home_distance,education,employee_id,score_environment,major,gender,hourly_rate,score_contribution,job_rank,role,score_job_satisfication,marriage_status,monthly_income,companies_count,underage,over_time,salary_increment_percentage,rate_performance,score_work_relationahip,working_hours,time_total_working,last_year_training_time,score_work_life_balance,time_current_company,time_current_role,time_last_promotion,time_current_manager
35,No,Health and Technology,16,3,FT1010014,1,Computer Science,Male,84,4,1,Laboratory Technician,2,Married,2426,0,No,No,13,3,3,40,6,5,3,5,4,0,3
29,No,Health and Technology,15,2,FT1210015,4,Life Sciences,Female,49,2,2,Laboratory Technician,3,Single,4193,0,No,Yes,12,3,4,40,10,3,3,9,5,0,8
31,No,Health and Technology,26,1,FT1010016,1,Life Sciences,Male,31,3,1,Research Scientist,3,Divorced,2911,1,No,No,17,3,4,40,5,1,2,5,2,4,3
34,No,Health and Technology,19,2,FT1110018,2,Computer Science,Male,93,3,1,Laboratory Technician,4,Divorced,2661,0,No,No,11,3,3,40,3,2,3,2,2,1,2
28,Yes,Health and Technology,24,3,FT1210019,3,Life Sciences,Male,50,2,1,Laboratory Technician,3,Single,2028,5,No,Yes,14,3,2,40,6,4,3,4,2,0,3
29,No,Health and Technology,21,4,FT1110020,2,Life Sciences,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,No,No,11,3,3,40,10,1,3,10,9,8,8
32,No,Health and Technology,5,2,FT1110021,1,Life Sciences,Male,80,4,1,Research Scientist,2,Divorced,3298,0,No,Yes,12,3,4,40,7,5,2,6,2,0,5
22,No,Health and Technology,16,2,FT1110022,4,Computer Science,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,No,Yes,13,3,2,40,1,2,2,1,0,0,0
53,No,Marketing,2,4,FT1210023,1,Life Sciences,Female,78,2,4,Manager,4,Married,15427,2,No,No,16,3,3,40,31,3,3,25,8,3,7
38,No,Health and Technology,2,3,FT1110024,4,Life Sciences,Male,45,3,1,Research Scientist,4,Single,3944,5,No,Yes,11,3,3,40,6,3,3,3,2,1,2
24,No,Health and Technology,11,2,FT1110026,1,Other,Female,96,4,2,Manufacturing Director,3,Divorced,4011,0,No,No,18,3,4,40,5,5,2,4,2,1,3
36,Yes,Marketing,9,4,FT1310027,3,Life Sciences,Male,82,2,1,Sales Representative,1,Single,3407,7,No,No,23,4,2,40,10,4,3,5,3,0,3
34,No,Health and Technology,7,4,FT1110028,1,Life Sciences,Female,53,3,3,Research Director,2,Single,11994,0,No,No,11,3,3,40,13,4,3,12,6,2,11
21,No,Health and Technology,15,2,FT1010030,3,Life Sciences,Male,96,3,1,Research Scientist,4,Single,1232,1,No,No,14,3,4,40,0,6,3,0,0,0,0
34,Yes,Health and Technology,6,1,FT1010031,2,Computer Science,Male,83,3,1,Research Scientist,1,Single,2960,2,No,No,11,3,3,40,8,2,3,4,2,1,3
53,No,Health and Technology,5,3,FT1010032,3,Other,Female,58,3,5,Manager,3,Divorced,19094,4,No,No,11,3,4,40,26,3,2,14,13,4,8
32,Yes,Health and Technology,16,1,FT1010033,2,Life Sciences,Female,72,1,1,Research Scientist,1,Single,3919,1,No,Yes,22,4,2,40,10,5,3,10,2,6,7
42,No,Marketing,8,4,FT1010035,3,Marketing,Male,48,3,2,Sales Executive,2,Married,6825,0,No,No,11,3,4,40,10,2,3,9,7,4,2
44,No,Health and Technology,7,4,FT1310036,1,Computer Science,Female,42,2,3,Healthcare Representative,4,Married,10248,3,No,No,14,3,4,40,24,4,3,22,6,5,17
46,No,Marketing,2,4,FT1010038,2,Marketing,Female,83,3,5,Manager,1,Single,18947,3,No,No,12,3,4,40,22,2,2,2,2,2,1
33,No,Health and Technology,2,3,FT1210039,3,Computer Science,Male,78,3,1,Laboratory Technician,4,Single,2496,4,No,No,11,3,4,40,7,3,3,1,1,0,0
44,No,Health and Technology,10,4,FT1010040,4,Other,Male,41,3,2,Healthcare Representative,4,Married,6465,2,No,Yes,13,3,4,40,9,5,4,4,2,1,3
30,No,Health and Technology,9,2,FT1110041,4,Computer Science,Male,83,2,1,Laboratory Technician,3,Single,2206,1,No,No,13,3,1,40,10,5,3,10,0,1,8
39,Yes,Marketing,5,3,FT1010042,4,Technical Degree,Male,56,3,2,Sales Representative,4,Married,2086,3,No,No,14,3,3,40,19,6,4,1,0,0,0
24,Yes,Health and Technology,1,3,FT1010045,2,Computer Science,Male,61,3,1,Research Scientist,4,Married,2293,2,No,Yes,16,3,1,40,6,2,2,2,0,2,0
43,No,Health and Technology,2,2,FT1110046,4,Computer Science,Female,72,4,1,Research Scientist,3,Divorced,2645,1,No,No,12,3,4,40,6,3,2,5,3,1,4
50,Yes,Marketing,3,2,FT1410047,1,Marketing,Male,86,2,1,Sales Representative,3,Married,2683,1,No,Yes,14,3,3,40,3,2,3,3,2,0,2
35,No,Marketing,2,3,FT1010049,4,Marketing,Female,97,3,1,Sales Representative,4,Married,2014,1,No,No,13,3,1,40,2,3,3,2,2,2,2
36,No,Health and Technology,5,4,FT1010051,2,Life Sciences,Female,82,2,1,Research Scientist,1,Married,3419,9,No,Yes,14,3,4,40,6,3,4,1,1,0,0
33,No,Marketing,1,3,FT1010052,3,Life Sciences,Female,42,4,2,Sales Executive,1,Married,5376,2,No,No,19,3,1,40,10,3,3,5,3,1,3
35,No,Health and Technology,4,2,FT1110053,3,Other,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,No,No,12,3,3,40,1,3,3,1,0,0,0
27,No,Health and Technology,2,4,FT1010054,4,Life Sciences,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,No,No,13,3,4,40,1,6,3,1,0,0,0
26,Yes,Health and Technology,25,3,FT1010055,1,Life Sciences,Male,48,1,1,Laboratory Technician,3,Single,2293,1,No,No,12,3,3,40,1,2,2,1,0,0,1
27,No,Marketing,8,3,FT1110056,4,Life Sciences,Male,37,3,3,Sales Executive,3,Single,8726,1,No,No,15,3,4,40,9,0,3,9,8,1,7
30,No,Health and Technology,1,2,FT1010057,3,Computer Science,Female,58,3,2,Laboratory Technician,4,Single,4011,1,No,No,23,4,4,40,12,2,3,12,8,3,7
41,Yes,Health and Technology,12,3,FT1010058,2,Technical Degree,Female,49,3,5,Research Director,3,Married,19545,1,No,No,12,3,4,40,23,0,3,22,15,15,8
34,No,Marketing,23,4,FT1010060,2,Marketing,Male,72,3,2,Sales Executive,3,Single,4568,0,No,No,20,4,3,40,10,2,3,9,5,8,7
37,No,Health and Technology,19,2,FT1010061,2,Life Sciences,Male,73,3,1,Research Scientist,2,Married,3022,4,No,No,21,4,1,40,8,1,3,1,0,0,0
46,No,Marketing,5,4,FT1210062,1,Marketing,Male,98,3,2,Sales Executive,4,Single,5772,4,No,Yes,21,4,3,40,14,4,3,9,6,0,8
35,No,Health and Technology,8,1,FT1110063,4,Life Sciences,Male,36,4,1,Laboratory Technician,4,Married,2269,1,No,No,19,3,4,40,1,2,3,1,0,0,1
48,Yes,Health and Technology,1,2,FT1310064,1,Life Sciences,Male,98,2,3,Laboratory Technician,3,Single,5381,9,No,Yes,13,3,4,40,23,2,3,1,0,0,0
28,Yes,Health and Technology,5,4,FT1210065,3,Technical Degree,Male,50,3,1,Laboratory Technician,3,Single,3441,1,No,Yes,13,3,3,40,2,3,2,2,2,2,2
44,No,Marketing,1,5,FT1010068,2,Marketing,Female,75,3,2,Sales Executive,1,Divorced,5454,5,No,Yes,21,4,3,40,9,2,2,4,3,1,3
35,No,Health and Technology,11,2,FT1010070,3,Computer Science,Male,79,2,3,Healthcare Representative,1,Married,9884,2,No,Yes,13,3,3,40,10,3,3,4,0,2,3
26,No,Marketing,23,3,FT1210072,3,Marketing,Female,47,2,2,Sales Executive,4,Married,4157,7,No,Yes,19,3,3,40,5,2,2,2,2,0,0
33,No,Health and Technology,1,2,FT1010073,1,Life Sciences,Female,98,3,3,Research Director,4,Single,13458,1,No,Yes,12,3,3,40,15,1,3,15,14,8,12
35,No,Marketing,18,5,FT1210074,2,Life Sciences,Male,71,3,3,Sales Executive,1,Married,9069,1,No,No,22,4,4,40,9,3,2,9,8,1,8
35,No,Health and Technology,23,4,FT1010075,3,Computer Science,Female,30,3,1,Laboratory Technician,1,Married,4014,3,No,Yes,15,3,3,40,4,3,3,2,2,2,2
31,No,Health and Technology,7,4,FT1110076,4,Life Sciences,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,No,No,22,4,4,40,10,3,2,7,7,1,7
37,No,Health and Technology,1,4,FT1110077,1,Life Sciences,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,No,No,18,3,3,40,7,2,4,7,5,0,7
32,No,Health and Technology,1,3,FT1210078,1,Computer Science,Male,33,3,2,Manufacturing Director,4,Married,6162,1,No,Yes,22,4,2,40,9,3,3,9,8,7,8
38,No,Health and Technology,29,5,FT1310079,4,Life Sciences,Female,50,3,2,Laboratory Technician,4,Single,2406,1,No,No,11,3,4,40,10,2,3,10,3,9,9
50,No,Health and Technology,7,2,FT1110080,2,Computer Science,Female,43,2,5,Research Director,3,Divorced,18740,5,No,Yes,12,3,4,40,29,2,2,27,3,13,8
59,No,Marketing,25,3,FT1210081,1,Life Sciences,Female,99,3,3,Sales Executive,1,Single,7637,7,No,No,11,3,4,40,28,3,2,21,16,7,9
36,No,Health and Technology,8,3,FT1110083,3,Technical Degree,Female,59,3,3,Healthcare Representative,3,Divorced,10096,1,No,No,13,3,2,40,17,2,3,17,14,12,8
55,No,Health and Technology,8,3,FT1510084,4,Computer Science,Female,33,3,4,Manager,3,Divorced,14756,2,No,Yes,14,3,3,40,21,2,3,5,0,0,2
36,No,Health and Technology,11,3,FT1010085,2,Life Sciences,Male,95,2,2,Manufacturing Director,2,Single,6499,1,No,No,13,3,3,40,6,3,3,6,5,0,3
45,No,Health and Technology,7,3,FT1010086,2,Life Sciences,Male,59,3,3,Research Scientist,1,Divorced,9724,2,No,No,17,3,3,40,25,2,3,1,0,0,0
35,No,Health and Technology,1,3,FT1010088,2,Computer Science,Male,79,3,1,Research Scientist,1,Married,2194,4,No,No,13,3,4,40,5,2,2,3,2,1,2
36,Yes,Health and Technology,9,3,FT1110090,4,Computer Science,Male,79,2,1,Research Scientist,3,Married,3388,0,No,Yes,17,3,1,40,2,0,2,1,0,0,0
59,No,Marketing,1,1,FT1410091,1,Life Sciences,Female,57,2,2,Sales Executive,3,Single,5473,7,No,No,11,3,4,40,20,2,2,4,3,1,3
29,No,Health and Technology,2,3,FT1110094,3,Life Sciences,Male,76,3,1,Research Scientist,2,Married,2703,0,No,No,23,4,4,40,6,3,3,5,4,0,4
31,No,Health and Technology,1,4,FT1010095,3,Computer Science,Male,87,3,1,Research Scientist,2,Single,2501,1,No,No,17,3,2,40,1,4,3,1,1,1,0
32,No,Health and Technology,1,3,FT1110096,2,Life Sciences,Male,66,3,2,Research Scientist,2,Married,6220,1,No,No,17,3,2,40,10,3,3,10,4,0,9
36,No,Health and Technology,6,3,FT1110097,2,Life Sciences,Female,55,4,1,Laboratory Technician,4,Married,3038,3,No,No,12,3,2,40,5,3,3,1,0,0,0
31,No,Health and Technology,8,4,FT1110098,3,Life Sciences,Female,61,3,2,Manufacturing Director,4,Single,4424,1,No,No,23,4,4,40,11,2,3,11,7,1,8
35,No,Marketing,1,4,FT1310100,3,Marketing,Male,32,2,2,Sales Executive,1,Single,4312,0,No,No,14,3,2,40,16,2,3,15,13,2,8
45,No,Health and Technology,6,4,FT1110101,4,Other,Male,52,3,3,Research Director,1,Married,13245,4,No,Yes,14,3,2,40,17,3,4,0,0,0,0
37,No,Health and Technology,7,4,FT1210102,1,Computer Science,Male,30,3,3,Research Director,3,Single,13664,4,No,No,13,3,1,40,16,3,4,5,2,0,2
46,No,Human Resource,5,2,FT1010103,2,Computer Science,Male,80,3,2,Human Resources,2,Divorced,5021,8,No,Yes,22,4,4,40,16,2,3,4,2,0,2
30,No,Health and Technology,1,1,FT1110104,4,Life Sciences,Male,55,2,2,Laboratory Technician,4,Married,5126,1,No,Yes,12,3,3,40,10,1,2,10,8,3,0
35,No,Health and Technology,1,3,FT1110105,2,Computer Science,Male,30,2,1,Research Scientist,3,Single,2859,1,No,No,18,3,1,40,6,3,3,6,4,0,4
55,No,Marketing,1,2,FT1510106,1,Life Sciences,Male,70,3,3,Sales Executive,4,Married,10239,3,No,No,14,3,4,40,24,4,3,1,0,1,0
38,No,Health and Technology,6,3,FT1110107,2,Computer Science,Female,79,1,2,Research Scientist,4,Divorced,5329,7,No,Yes,12,3,4,40,17,3,3,13,11,1,9
34,No,Health and Technology,1,2,FT1210110,1,Computer Science,Male,94,3,2,Manufacturing Director,2,Married,4325,1,No,No,15,3,3,40,5,2,3,5,2,1,3
56,No,Health and Technology,7,3,FT1110112,4,Life Sciences,Male,49,1,3,Manufacturing Director,4,Single,7260,4,No,No,11,3,1,40,37,3,2,6,4,0,2
23,No,Marketing,2,1,FT1210113,3,Technical Degree,Male,62,3,1,Sales Representative,1,Divorced,2322,3,No,No,13,3,3,40,3,3,3,0,0,0,0
51,No,Health and Technology,9,4,FT1210116,4,Life Sciences,Male,96,3,1,Laboratory Technician,4,Married,2075,3,No,No,23,4,2,40,10,4,3,4,2,0,3
30,No,Health and Technology,2,3,FT1110117,3,Life Sciences,Male,99,2,2,Healthcare Representative,4,Married,4152,1,No,No,19,3,1,40,11,3,3,11,10,10,8
46,Yes,Marketing,9,2,FT1010118,3,Computer Science,Male,64,2,3,Sales Executive,4,Single,9619,1,No,No,16,3,4,40,9,3,3,9,8,4,7
40,No,Health and Technology,1,4,FT1110119,3,Life Sciences,Male,78,2,4,Healthcare Representative,2,Married,13503,1,No,No,22,4,4,40,22,3,2,22,3,11,11
51,No,Marketing,21,4,FT1010120,3,Marketing,Male,71,3,2,Sales Executive,4,Single,5441,0,No,Yes,22,4,4,40,11,2,1,10,7,1,0
30,No,Marketing,4,2,FT1110121,3,Computer Science,Female,63,2,2,Sales Executive,2,Divorced,5209,1,No,Yes,12,3,2,40,11,4,2,11,8,2,7
46,No,Health and Technology,1,3,FT1310124,3,Computer Science,Male,40,2,3,Healthcare Representative,1,Married,10673,2,No,Yes,13,3,3,40,21,5,2,10,9,9,5
32,No,Marketing,6,4,FT1210125,2,Computer Science,Male,87,3,2,Sales Executive,3,Single,5010,1,No,No,16,3,1,40,12,0,3,11,8,5,7
54,No,Health and Technology,2,4,FT1010126,1,Technical Degree,Female,60,3,3,Research Director,3,Married,13549,9,No,No,12,3,1,40,16,5,1,4,3,0,3
24,No,Marketing,3,2,FT1010128,1,Other,Female,33,3,2,Sales Executive,3,Married,4999,0,No,No,21,4,1,40,4,2,2,3,2,0,2
28,No,Marketing,4,3,FT1210129,2,Computer Science,Male,43,3,2,Sales Executive,3,Married,4221,1,No,No,15,3,2,40,5,3,4,5,4,0,4
58,No,Marketing,10,4,FT1410131,4,Computer Science,Male,37,3,4,Sales Executive,3,Single,13872,0,No,No,13,3,3,40,38,1,2,37,10,1,8
44,No,Health and Technology,23,3,FT1310132,2,Computer Science,Male,67,3,2,Laboratory Technician,2,Married,2042,4,No,No,12,3,3,40,17,3,4,3,2,1,2
37,Yes,Human Resource,6,4,FT1110133,3,Human Resources,Male,63,3,1,Human Resources,1,Divorced,2073,4,No,Yes,22,4,4,40,7,3,3,3,2,0,2
32,No,Health and Technology,1,1,FT1110134,4,Life Sciences,Male,71,3,1,Research Scientist,1,Single,2956,1,No,No,13,3,4,40,1,2,3,1,0,0,0
20,Yes,Health and Technology,6,3,FT1010137,4,Life Sciences,Female,66,2,1,Laboratory Technician,4,Single,2926,1,No,Yes,18,3,2,40,1,5,3,1,0,1,0
34,No,Health and Technology,6,4,FT1210138,1,Other,Female,41,3,2,Research Scientist,3,Single,4809,1,No,No,14,3,3,40,16,3,3,16,13,2,10
37,No,Health and Technology,2,2,FT1110139,3,Life Sciences,Male,100,2,2,Healthcare Representative,4,Divorced,5163,5,No,No,14,3,4,40,17,2,4,1,0,0,0
59,No,Human Resource,2,4,FT1110140,3,Human Resources,Female,32,2,5,Manager,4,Married,18844,9,No,No,21,4,4,40,30,3,3,3,2,2,2
50,No,Health and Technology,1,3,FT1310141,1,Life Sciences,Female,73,3,5,Research Director,2,Married,18172,3,No,Yes,19,3,1,40,28,1,2,8,3,0,7
25,Yes,Marketing,5,3,FT1010142,3,Marketing,Male,46,2,2,Sales Executive,3,Single,5744,1,No,Yes,11,3,4,40,6,1,3,6,4,0,3
25,No,Health and Technology,7,1,FT1010143,4,Computer Science,Male,64,2,1,Research Scientist,4,Married,2889,1,No,No,11,3,3,40,2,2,3,2,2,2,1
22,No,Health and Technology,15,3,FT1010144,2,Computer Science,Female,59,3,1,Laboratory Technician,4,Single,2871,1,No,No,15,3,3,40,1,5,3,0,0,0,0
51,No,Health and Technology,1,4,FT1310145,1,Computer Science,Female,30,2,3,Healthcare Representative,1,Single,7484,3,No,No,20,4,3,40,23,1,2,13,12,12,8
34,Yes,Health and Technology,7,3,FT1110147,1,Life Sciences,Male,66,1,2,Laboratory Technician,3,Single,6074,1,No,Yes,24,4,4,40,9,3,3,9,7,0,6
54,No,Human Resource,26,3,FT1510148,4,Human Resources,Female,30,4,4,Manager,4,Single,17328,2,No,Yes,12,3,3,40,23,3,3,5,3,4,4
24,No,Health and Technology,18,1,FT1110150,2,Life Sciences,Male,52,3,1,Laboratory Technician,3,Married,2774,0,No,No,12,3,3,40,6,2,3,5,3,1,2
34,No,Health and Technology,6,4,FT1010151,3,Life Sciences,Female,45,2,2,Research Scientist,2,Divorced,4505,6,No,No,15,3,3,40,12,3,3,1,0,0,0
37,No,Marketing,3,3,FT1110152,3,Life Sciences,Male,87,3,3,Sales Executive,4,Single,7428,2,No,No,12,3,1,40,12,3,3,5,3,1,3
34,No,Health and Technology,5,3,FT1210153,3,Computer Science,Female,45,2,3,Manager,1,Single,11631,2,No,No,12,3,4,40,14,6,3,11,10,5,8
36,No,Marketing,11,2,FT1210154,2,Technical Degree,Female,92,3,3,Sales Executive,4,Married,9738,0,No,No,14,3,3,40,10,6,3,9,7,2,8
36,No,Health and Technology,3,2,FT1010155,1,Life Sciences,Female,39,3,1,Laboratory Technician,4,Divorced,2835,5,No,No,22,4,1,40,7,2,3,1,0,0,0
43,No,Marketing,26,2,FT1210158,3,Life Sciences,Male,92,3,4,Manager,4,Married,16959,1,No,Yes,12,3,4,40,25,3,4,25,12,4,12
30,No,Health and Technology,23,3,FT1110159,1,Life Sciences,Male,96,1,1,Research Scientist,3,Divorced,2613,1,No,No,25,4,3,40,10,2,2,10,7,0,9
33,No,Marketing,22,2,FT1210160,3,Marketing,Male,95,3,2,Sales Executive,2,Married,6146,0,No,No,13,3,1,40,8,2,4,7,7,0,7
56,Yes,Health and Technology,14,4,FT1410161,2,Life Sciences,Female,72,3,1,Research Scientist,2,Married,4963,9,No,Yes,18,3,1,40,7,2,3,5,4,4,3
51,No,Health and Technology,6,3,FT1010162,1,Life Sciences,Male,51,3,5,Research Director,3,Single,19537,7,No,No,13,3,3,40,23,5,3,20,18,15,15
31,Yes,Marketing,6,4,FT1210163,2,Life Sciences,Male,76,1,2,Sales Executive,3,Married,6172,4,No,Yes,18,3,2,40,12,3,2,7,7,7,7
26,No,Health and Technology,6,3,FT1110164,3,Other,Female,46,2,1,Research Scientist,2,Married,2368,1,No,No,19,3,3,40,5,3,2,5,4,4,3
58,Yes,Health and Technology,23,4,FT1010165,4,Computer Science,Female,94,3,3,Healthcare Representative,4,Married,10312,1,No,No,12,3,4,40,40,3,2,40,10,15,6
19,Yes,Marketing,22,1,FT1110167,4,Marketing,Male,50,3,1,Sales Representative,3,Single,1675,1,No,Yes,19,3,4,40,0,2,2,0,0,0,0
22,No,Health and Technology,2,1,FT1010169,3,Technical Degree,Male,100,3,1,Laboratory Technician,4,Married,2523,0,No,No,14,3,3,40,3,2,3,2,1,2,1
49,No,Health and Technology,20,4,FT1110170,3,Computer Science,Female,96,3,2,Manufacturing Director,1,Married,6567,1,No,No,14,3,3,40,16,2,2,15,11,5,11
43,No,Health and Technology,28,3,FT1210171,2,Computer Science,Female,72,4,1,Research Scientist,3,Single,4739,4,No,No,12,3,4,40,18,2,3,3,2,1,2
50,No,Marketing,12,3,FT1210174,3,Marketing,Female,77,3,3,Sales Executive,4,Single,9208,4,No,No,11,3,4,40,16,3,3,2,2,2,1
31,Yes,Marketing,20,3,FT1010175,2,Life Sciences,Female,71,1,2,Sales Executive,3,Married,4559,3,No,Yes,11,3,3,40,4,2,3,2,2,2,2
41,No,Marketing,9,1,FT1310176,3,Life Sciences,Male,96,3,3,Sales Executive,3,Divorced,8189,3,No,Yes,13,3,3,40,12,2,3,9,7,0,7
26,No,Human Resource,25,1,FT1110177,3,Life Sciences,Female,61,3,1,Human Resources,3,Married,2942,1,No,No,23,4,4,40,8,3,3,8,7,5,7
36,No,Health and Technology,6,2,FT1110178,2,Computer Science,Male,84,3,2,Manufacturing Director,2,Divorced,4941,6,No,No,20,4,4,40,7,0,3,3,2,0,1
51,Yes,Health and Technology,8,4,FT1410179,1,Life Sciences,Male,53,1,3,Manufacturing Director,4,Single,10650,2,No,No,15,3,4,40,18,2,3,4,2,0,3
39,No,Marketing,4,4,FT1010182,4,Life Sciences,Female,47,2,2,Sales Executive,3,Married,5902,4,No,No,14,3,3,40,17,1,4,15,11,5,9
25,No,Marketing,28,3,FT1010183,1,Life Sciences,Male,41,2,2,Sales Executive,3,Married,8639,2,No,No,18,3,4,40,6,3,3,2,2,2,2
30,No,Human Resource,9,3,FT1210184,3,Human Resources,Male,48,3,2,Human Resources,4,Married,6347,0,No,Yes,19,3,4,40,12,2,1,11,9,4,7
32,Yes,Health and Technology,9,3,FT1110190,1,Computer Science,Female,41,3,1,Laboratory Technician,1,Single,4200,7,No,No,22,4,1,40,10,2,4,5,4,0,4
45,No,Health and Technology,29,3,FT1110192,3,Computer Science,Male,83,3,1,Research Scientist,4,Single,3452,5,No,No,13,3,2,40,9,2,2,6,5,0,3
38,No,Health and Technology,3,5,FT1110193,4,Technical Degree,Female,32,3,2,Research Scientist,3,Single,4317,3,No,Yes,20,4,2,40,19,2,3,3,2,2,2
30,No,Health and Technology,18,3,FT1210194,1,Life Sciences,Female,75,3,1,Research Scientist,3,Single,2632,1,No,No,14,3,3,40,5,4,2,5,4,0,4
32,No,Marketing,9,2,FT1110195,4,Computer Science,Male,35,1,2,Sales Executive,4,Divorced,4668,0,No,No,17,3,4,40,9,2,4,8,7,0,7
30,No,Health and Technology,5,3,FT1110197,4,Technical Degree,Female,84,3,1,Research Scientist,1,Divorced,3204,5,No,No,14,3,4,40,8,3,3,3,2,2,2
30,No,Health and Technology,2,1,FT1010198,2,Computer Science,Male,35,2,1,Laboratory Technician,4,Single,2720,0,No,No,13,3,4,40,6,3,3,5,3,1,2
41,No,Health and Technology,10,3,FT1210199,4,Life Sciences,Male,91,2,4,Manager,1,Divorced,17181,4,No,No,13,3,2,40,21,2,2,7,6,7,7
41,No,Health and Technology,9,4,FT1310200,3,Life Sciences,Male,94,3,1,Laboratory Technician,1,Married,2238,2,No,No,21,4,4,40,7,2,3,5,0,1,4
19,No,Health and Technology,3,1,FT1010201,2,Computer Science,Female,79,3,1,Laboratory Technician,2,Single,1483,1,No,No,14,3,4,40,1,3,3,1,0,0,0
40,No,Health and Technology,26,3,FT1210202,2,Computer Science,Female,54,3,2,Research Scientist,2,Divorced,5605,1,No,No,11,3,1,40,20,2,3,20,7,2,13
35,No,Marketing,1,5,FT1210204,3,Marketing,Male,94,3,3,Sales Executive,2,Married,7295,1,No,No,13,3,1,40,10,3,3,10,8,0,6
53,No,Marketing,6,2,FT1010205,2,Marketing,Male,34,3,2,Sales Representative,3,Married,2306,2,No,Yes,20,4,4,40,13,3,1,7,7,4,5
45,No,Health and Technology,9,3,FT1210206,2,Life Sciences,Male,60,3,2,Laboratory Technician,2,Divorced,2348,8,No,No,18,3,3,40,20,2,1,17,9,0,15
32,No,Marketing,8,3,FT1010207,2,Marketing,Female,43,3,3,Sales Executive,4,Single,8998,1,No,No,14,3,4,40,9,2,3,9,8,3,7
29,No,Health and Technology,1,1,FT1010208,4,Technical Degree,Male,41,3,2,Manufacturing Director,3,Married,4319,1,No,No,13,3,1,40,10,1,3,10,7,0,9
51,No,Health and Technology,7,4,FT1210211,2,Computer Science,Male,34,2,2,Manufacturing Director,3,Married,6132,2,No,No,17,3,3,40,10,2,3,1,0,0,0
58,No,Health and Technology,9,3,FT1410214,2,Computer Science,Female,75,2,1,Research Scientist,2,Married,3346,4,No,Yes,20,4,2,40,9,3,2,1,0,0,0
40,No,Marketing,4,4,FT1310215,3,Marketing,Male,67,2,3,Sales Executive,4,Married,10855,7,No,No,11,3,1,40,15,2,2,12,11,2,11
34,No,Marketing,2,4,FT1210216,3,Marketing,Female,75,3,1,Sales Representative,3,Married,2231,6,No,No,18,3,4,40,6,3,3,4,3,1,2
22,No,Health and Technology,19,1,FT1110217,3,Computer Science,Male,80,3,1,Research Scientist,4,Married,2323,1,No,No,24,4,1,40,2,6,3,2,2,2,2
27,No,Health and Technology,9,3,FT1210218,4,Computer Science,Male,57,3,1,Research Scientist,2,Divorced,2024,6,No,No,18,3,4,40,6,1,1,2,2,2,2
28,No,Health and Technology,21,3,FT1110221,3,Computer Science,Male,42,3,1,Research Scientist,4,Married,2713,1,No,No,11,3,3,40,5,2,1,5,2,0,2
57,No,Health and Technology,24,2,FT1010223,3,Life Sciences,Male,83,4,3,Healthcare Representative,4,Divorced,9439,3,No,Yes,16,3,2,40,12,2,1,5,3,1,4
27,No,Health and Technology,3,3,FT1010224,3,Computer Science,Male,79,2,1,Research Scientist,3,Divorced,2566,1,No,Yes,15,3,4,40,1,2,2,1,1,0,1
